,gene,count
0,tas1r3,39
1,gnat3,34
2,trpm5,27
3,bdnf,21
4,tas1r2,20
5,krt71,16
6,shh,13
7,tbpl1,13
8,tas1r1,12
9,cd36,12
10,pkd2l1,12
11,lep,10
12,trpv1,9
13,gcg,8
14,ffar4,8
15,slc5a1,8
16,ncam1,7
17,ntf3,7
18,nr3c1,7
19,ntf5,7
20,ntrk2,6
21,pgp,6
22,sox2,6
23,ffar1,6
24,ascl1,5
25,fos,5
26,pkd1l3,5
27,smpd1,5
28,casr,5
29,itpr3,4
30,p2rx1,4
31,gprc6a,4
32,epha3,4
33,trpa1,4
34,sh2d3c,4
35,calhm1,4
36,gnat1,3
37,grm4,3
38,ptgir,3
39,neurod1,3
40,cck,3
41,vamp5,3
42,bmp4,3
43,ss18l1,3
44,ripk2,3
45,gdnf,3
46,slc1a3,3
47,p2rx3,3
48,rln3,3
49,trpm1,3
50,gad1,3
51,six1,3
52,tas2r105,3
53,tas2r138,3
54,cys1,2
55,dmbt1,2
56,tnfrsf1b,2
57,ngf,2
58,igf1,2
59,abcb1b,2
60,gnaq,2
61,nes,2
62,gng13,2
63,egf,2
64,kit,2
65,rasa1,2
66,avpr2,2
67,sorbs1,2
68,pbsn,2
69,tff2,2
70,ptch1,2
71,ntrk1,2
72,egfr,2
73,hbb-b1,2
74,trpv4,2
75,rgs21,2
76,asic2,2
77,spaca9,2
78,pax9,2
79,impact,2
80,atp9a,2
81,pyy,2
82,kcnq1,2
83,ddc,2
84,olfr139,2
85,sult2a1,2
86,npy,2
87,hmgcr,2
88,bmp7,2
89,set,2
90,ptpn5,2
91,dlx5,2
92,adora2b,2
93,ank1,2
94,tas2r107,2
95,lgr5,2
96,plxna3,2
97,cp,2
98,entpd2,2
99,ghrl,2
100,hspg2,2
101,krt8,2
102,il2rg,2
103,alk,1
104,prnp,1
105,slc11a1,1
106,eno2,1
107,grk5,1
108,decr1,1
109,ttr,1
110,calb2,1
111,cd4,1
112,cd3e,1
113,cd44,1
114,gna15,1
115,mgrn1,1
116,ptprc,1
117,grxcr1,1
118,gli1,1
119,serpini1,1
120,gusb,1
121,hephl1,1
122,trp53,1
123,pax2,1
124,pax3,1
125,nkx3-1,1
126,casp2,1
127,gnai2,1
128,vim,1
129,snai2,1
130,plekhm1,1
131,cse1l,1
132,ttc26,1
133,hcn4,1
134,hcn1,1
135,asic1,1
136,prdm1,1
137,adra2b,1
138,cacna1a,1
139,adra2a,1
140,adra2c,1
141,p2rx2,1
142,upp1,1
143,bhlhe23,1
144,itgb5,1
145,oas1g,1
146,acvr1,1
147,p2ry1,1
148,ngfr,1
149,kcnk3,1
150,kcnk1,1
151,kcnk2,1
152,vmn2r122,1
153,grk2,1
154,ntn1,1
155,tyrp1,1
156,trcg1,1
157,adgrf3,1
158,lhb,1
159,phip,1
160,psmd11,1
161,braf,1
162,hras,1
163,arg1,1
164,ntrk3,1
165,adcy8,1
166,tnnt2,1
167,hspa1b,1
168,sst,1
169,met,1
170,espn,1
171,kcnh2,1
172,ptgs2,1
173,hes6,1
174,vamp2,1
175,rsph1,1
176,ctnnb1,1
177,gal,1
178,snap25,1
179,cntf,1
180,cntfr,1
181,ret,1
182,pmp2,1
183,ccl28,1
184,ace,1
185,robo2,1
186,slit3,1
187,myh4,1
188,cyp19a1,1
189,cyp11a1,1
190,src,1
191,vegfa,1
192,trpc1,1
193,trpc6,1
194,mt3,1
195,gif,1
196,stxbp3,1
197,ppp2r1a,1
198,lmod1,1
199,cib1,1
200,foxa2,1
201,th,1
202,srebf2,1
203,wnt11,1
204,pmch,1
205,reep5,1
206,reep4,1
207,syp,1
208,impad1,1
209,eaf2,1
210,hes1,1
211,fst,1
212,grm1,1
213,kcnj1,1
214,spp1,1
215,ric8b,1
216,large1,1
217,ctsb,1
218,casp3,1
219,hand1,1
220,srgn,1
221,srrm4,1
222,il2ra,1
223,ctla4,1
224,trp63,1
225,six4,1
226,reep2,1
227,avp,1
228,mtr,1
229,gast,1
230,trpm4,1
231,mcoln3,1
232,uchl1,1
233,dcx,1
234,hand2,1
235,dlx6,1
236,pou2f3,1
237,tas2r108,1
238,fxyd6,1
239,fgfr1op,1
240,p2rx4,1
241,pax1,1
242,vsnl1,1
243,slc17a8,1
244,smad4,1
245,fgfr4,1
246,fgf6,1
247,mbp,1
248,slc2a5,1
249,slc2a2,1
250,ucp2,1
251,ucp1,1
252,ucp3,1
253,zic3,1
254,cnr1,1
255,panx1,1
256,arhgef16,1
257,tas2r131,1
258,npy5r,1
259,il17d,1
260,etv4,1
261,dock7,1
